,artist,credits,key,status,title
10,Billy Preston,"{'artist': ['Bruce Fisher', 'Bruce Carleton Fisher', 'Hubert Heard', 'George Johnson', 'Henry George Johnson', 'Louis Johnson', 'Billy Preston', 'John Schuller'], 'credit': ['\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer,  Primary Artist                        ', '\n                            Composer                        ']}",Billy Preston - The Kids & Me,good,The Kids & Me
11,Love Unlimited Orchestra,"{'artist': ['Steve Hall', 'Frank Kejmar', 'Richard Kriegler', 'Love Unlimited Orchestra', 'Gary N. Mayo', 'Larry Nunes', 'Billy Page', 'Gene Page', 'Ray Parker, Jr.', 'Glenn Ross', 'Harry Weinger', 'Barry White', 'Clifford White'], 'credit': ['\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Artwork,  Design                        ', '\n                            Primary Artist                        ', '\n                            Digital Remastering                        ', '\n                            Spiritual Advisor                        ', '\n                            Composer                        ', '\n                            Arranger,  Composer,  Conductor                        ', '\n                            Composer                        ', '\n                            Art Direction                        ', '\n                            Research,  Supervisor                        ', '\n                            Arranger,  Composer,  Concept,  Conductor,  Primary Artist,  Producer                        ', '\n                            Primary Artist                        ']}",Love Unlimited Orchestra - White Gold,good,White Gold
12,The Blackbyrds,"{'artist': ['Allan Curtis Barnes', 'The Blackbyrds', 'Donald Byrd', 'Keith Killgo', 'Barney Perry', 'Kevin Toney'], 'credit': ['\n                            Composer                        ', '\n                            Primary Artist                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ']}",The Blackbyrds - Flying Start,good,Flying Start
13,Richard Pryor,"{'artist': ['Richard Pryor'], 'credit': ['\n                            Composer,  Primary Artist,  Producer                        ']}",Richard Pryor - That Nigger's Crazy,good,That Nigger's Crazy
14,Rufus,"{'artist': ['Chaka Khan', 'Rufus'], 'credit': ['\n                            Featured Artist,  Primary Artist                        ', '\n                            Primary Artist                        ']}",Rufus - Rags To Rufus,good,Rags To Rufus
15,Bobbi Humphrey,"{'artist': ['Bob Cato', 'Michael Cuscuna', 'Chuck Davis', 'Phil Davis', 'Duke Ellington', 'Val Garay', 'Samantha Harris', 'David Hassinger', 'Bobbi Humphrey', 'King Errisson', 'Harvey Mason, Sr.', 'Terry McFaddin', 'Ron McMaster', 'Johnny Mercer', 'John H.R. Mills', 'Fonce Mizell', 'Larry Mizell', 'Jim Nipar', 'Freddie Perren', 'Jerry Peters', 'Don Preston', 'Melvin ""Wah Wah"" Ragin', 'Chuck Rainey', 'John Rowin', 'Roger Sainte', 'Stephanie Spruill', 'Billy Strayhorn', 'Stevie Wonder'], 'credit': ['\n                            Art Direction                        ', '\n                            Reissue Producer                        ', '\n                            Composer,  Producer,  Trumpet,  Vocals (Background)                        ', '\n                            Moog Synthesizer                        ', '\n                            Composer                        ', '\n                            Assistant Engineer,  Engineer                        ', '\n                            Vocals (Background)                        ', '\n                            Engineer,  Remixing                        ', '\n                            Flute,  Primary Artist,  Vocals                        ', '\n                            Congas                        ', '\n                            Drums,  Guest Artist                        ', '\n                            Composer                        ', '\n                            Mastering                        ', '\n                            Composer                        ', '\n                            Assistant Engineer                        ', '\n                            Clavichord,  Clavinet,  Fender Rhodes,  Piano (Electric),  Trumpet,  Vocal Arrangement,  Vocals,  Vocals (Background)                        ', '\n                            ARP Synthesizer,  Arranger,  Composer,  Conductor,  Fender Rhodes,  Piano (Electric),  Producer,  Synthesizer,  Trumpet,  Vocal Arrangement,  Vocals,  Vocals (Background)                        ', '\n                            Assistant Engineer                        ', '\n                            Vocal Arrangement,  Vocals,  Vocals (Background)                        ', '\n                            Clavichord,  Clavinet,  Piano,  Trumpet                        ', '\n                            Moog Synthesizer,  Synthesizer                        ', '\n                            Composer,  Guitar                        ', '\n                            Bass,  Bass (Electric),  Guest Artist                        ', '\n                            Guitar                        ', '\n                            Percussion                        ', '\n                            Percussion                        ', '\n                            Composer                        ', '\n                            Composer                        ']}",Bobbi Humphrey - Satin Doll,good,Satin Doll
16,Herbie Hancock,"{'artist': ['Bob Belden', 'Steven Berkowitz', 'Dane Butcher', 'Fred Catero', 'Mike Clark', 'Mike Clarke', 'Howard Fritzson', 'Herbie Hancock', 'The Headhunters', 'Don Hunstein', 'Paul Jackson', 'Randall Martin', 'Patti Matheny', 'Bennie Maupin', 'Seth Rothstein', 'David Rubinson', 'Tom ""Curly"" Ruff', 'Rob Springett', 'Bill Summers', 'John Vieira', 'Oren Waters'], 'credit': ['\n                            Reissue Producer                        ', '\n                            A&R                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Composer,  Drums,  Liner Notes                        ', '\n                            Guest Artist                        ', '\n                            Art Direction,  Reissue Art Director                        ', '\n                            Arp 2600,  Arp Odyssey,  Arp Strings,  ARP Synthesizer,  Clavinet,  Composer,  Fender Rhodes,  Keyboards,  Piano (Electric),  Primary Artist,  Producer,  Synthesizer,  Vocals                        ', '\n                            Group                        ', '\n                            Photography                        ', '\n                            Bass,  Bass (Electric),  Composer,  Guest Artist                        ', '\n                            Reissue Design                        ', '\n                            Artist Coordination                        ', '\n                            Clarinet (Bass),  Composer,  Flute (Alto),  Guest Artist,  Percussion,  Sax (Soprano),  Sax (Tenor),  Saxello,  Saxophone,  Wind                        ', '\n                            Project Director                        ', '\n                            Producer                        ', '\n                            Digital Remastering                        ', '\n                            Cover Art                        ', '\n                            Guest Artist,  Percussion                        ', '\n                            Engineer                        ', '\n                            Vocals                        ']}",Herbie Hancock - Thrust,good,Thrust
17,Stanley Turrentine,"{'artist': ['Dick Addrisi', 'Don Addrisi', 'Alan Bergman', 'Johannes Brahms', 'Ron Brown', 'Ronald Brown', 'Sonny Burke', 'Phil Carroll', 'Joe Clayton', 'Gary Coleman', 'Phil DeLancie', 'Ronald Granger', 'Ed Greene', 'Joan Griffin', 'Kashif', 'Tony Lane', 'Michel Legrand', 'Myrna Matthews', 'John Miller', 'John Miller', 'John Lloyd Miller', 'Ed Moore', 'Eddie Moore', 'Bill Page', 'Billy Page', 'Gene Page', 'Olivia Page', 'Ray Parker, Jr.', 'Dean Parks', 'Jamie Putnam', 'Stan Ross', 'Jim Stern', 'Stanley Turrentine', 'David T. Walker', 'David T. Walter', 'Leon Ware', 'Carolyn Willis', 'Bobby Womack', 'Stevie Wonder', 'Edna Wright', 'Syreeta Wright'], 'credit': ['\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Bass                        ', '\n                            Bass                        ', '\n                            Keyboards                        ', '\n                            Art Direction,  Artwork                        ', '\n                            Congas                        ', '\n                            Percussion                        ', '\n                            Digital Remastering                        ', '\n                            Executive Producer,  Producer                        ', '\n                            Drums                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Art Direction,  Artwork,  Photography                        ', '\n                            Composer                        ', '\n                            Vocals (Background)                        ', '\n                            Keyboards                        ', '\n                            Keyboards                        ', '\n                            Keyboards                        ', '\n                            Drums                        ', '\n                            Drums                        ', '\n                            Adaptation,  Producer                        ', '\n                            Composer                        ', '\n                            Adaptation,  Arranger,  Composer,  Conductor,  Keyboards,  Producer                        ', '\n                            Production Coordination                        ', '\n                            Guest Artist,  Guitar                        ', '\n                            Guitar                        ', '\n                            Art Direction,  Artwork                        ', '\n                            Engineer,  Remixing                        ', '\n                            Engineer                        ', '\n                            Primary Artist,  Producer,  Sax (Tenor)                        ', '\n                            Guitar                        ', '\n                            Guitar                        ', '\n                            Composer                        ', '\n                            Vocals (Background)                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Vocals (Background)                        ', '\n                            Composer                        ']}",Stanley Turrentine - Pieces Of Dreams,good,Pieces Of Dreams
18,Barry White,"{'artist': ['Tom Brock', 'Paul Elmore', 'Frank Kejmar', 'Gary N. Mayo', 'Gene Page', 'Peter Radcliffe', 'Tony Sepe', 'R. Taylor', 'Barry White'], 'credit': ['\n                            Composer                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Digital Remastering                        ', '\n                            Arranger                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Arranger,  Composer,  Engineer,  Primary Artist,  Producer                        ']}",Barry White - Can't Get Enough,good,Can't Get Enough
19,Ohio Players,"{'artist': ['Billy Beck', 'William ""Billy"" Beck', 'Leroy ""Sugarfoot"" Bonner', 'Marshall ""Rock"" Jones', 'Ralph ""Pee Wee"" Middlebrooks', 'Ohio Players', 'Marvin Pierce', 'Mervin Pierce', 'Satch (Aries)', 'Clarence ""Satch"" Satchell', 'James ""Diamond"" Williams'], 'credit': ['\n                            ARP Synthesizer,  Clavinet,  Fender Rhodes,  Organ,  Percussion,  Piano,  Vocals,  Vocals (Background)                        ', '\n                            Composer                        ', '\n                            Composer,  Guitar,  Percussion,  Vocals,  Vocals (Background)                        ', '\n                            Bass,  Composer                        ', '\n                            Composer                        ', '\n                            Composer,  Primary Artist                        ', '\n                            Composer                        ', '\n                            Flugelhorn,  Trombone (Valve),  Trumpet,  Vocals (Background)                        ', '\n                            Flute,  Percussion,  Sax (Baritone),  Sax (Tenor),  Vocals,  Vocals (Background)                        ', '\n                            Composer                        ', '\n                            Chimes,  Composer,  Drums,  Percussion,  Vocals,  Vocals (Background)                        ']}",Ohio Players - Skin Tight,good,Skin Tight
20,Nancy Wilson,"{'artist': ['Thom Bell', 'Linda Creed', 'Dee Ervin', 'Linda McCartney', 'Paul McCartney', 'Dee Dee McNeil', 'Billy Page', 'Gene Page', 'Ray Parker, Jr.', 'Tennyson Stephens', 'Johnny ""Guitar"" Watson', 'Jimmy Webb', 'Nancy Wilson', 'Stevie Wonder'], 'credit': ['\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer,  Conductor                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer,  Primary Artist                        ', '\n                            Composer                        ']}",Nancy Wilson - All In Love Is Fair,good,All In Love Is Fair
21,The Hues Corporation,"{'artist': ['Hues Corporation'], 'credit': ['\n                            Primary Artist                        ']}",The Hues Corporation - Rockin' Soul,good,Rockin' Soul
22,Spinners,"{'artist': ['Bob Babbitt', 'Sevie Bates', 'Thom Bell', 'Tony Bell', 'Rocco Bene', 'Carla Benson', 'Yvette Benson', 'Carla Benton', 'Evette Benton', 'Edward Cascarella', 'Linda Creed', 'Danny Davis', 'Joseph DeAngelis', 'Joe DeAnglis', 'Bobby Eli', 'Jack Faith', 'Henry Fambrough', 'Jim Gallagher', 'A. Scott Galloway', 'Richard Genovese', 'Robert Hartzell', 'Bruce Hawes', 'Billy Henderson', 'Daniel Hersch', 'Bill Inglot', 'Barbara Ingram', 'Pervis Jackson', 'Joseph B. Jefferson', 'Freddy Joiner', 'Tom Kennery', 'Sherman Marshall', 'Bob Moore', 'Don Murray', 'Walter Pfell', 'Milton Phibbs', 'Philip T. Pugh', 'Don Renaldo', 'Coco Shinomiya', 'Charles Simmons', 'Andrew Smith', 'Bobby Smith', 'The Spinners', 'Dionne Warwick', 'Larry Washington', 'Philippe Wynne'], 'credit': ['\n                            Bass,  Guitar (Bass)                        ', '\n                            Design                        ', '\n                            Arranger,  Composer,  Conductor,  Keyboards,  Producer                        ', '\n                            Guitar                        ', '\n                            Trumpet                        ', '\n                            Vocals (Background)                        ', '\n                            Vocals (Background)                        ', '\n                            Vocals (Background)                        ', '\n                            Vocals (Background)                        ', '\n                            Trombone                        ', '\n                            Composer,  Vocals (Background)                        ', '\n                            French Horn                        ', '\n                            French Horn                        ', '\n                            French Horn                        ', '\n                            Guitar                        ', '\n                            Flute (Bass),  Sax (Alto)                        ', '\n                            Baritone (Vocal)                        ', '\n                            Engineer                        ', '\n                            Liner Notes                        ', '\n                            Trombone                        ', '\n                            Trumpet                        ', '\n                            Composer                        ', '\n                            Tenor (Vocal)                        ', '\n                            Remastering                        ', '\n                            Remastering                        ', '\n                            Vocals (Background)                        ', '\n                            Bass (Vocal)                        ', '\n                            Composer                        ', '\n                            Trombone                        ', '\n                            Guitar (Steel)                        ', '\n                            Composer                        ', '\n                            Trombone                        ', '\n                            Engineer,  Guitar                        ', '\n                            Harp                        ', '\n                            French Horn                        ', '\n                            Composer                        ', '\n                            Strings                        ', '\n                            Art Direction                        ', '\n                            Composer                        ', '\n                            Drums                        ', '\n                            Tenor (Vocal)                        ', '\n                            Primary Artist                        ', '\n                            Guest Artist                        ', '\n                            Bongos,  Congas                        ', '\n                            Tenor (Vocal)                        ']}",Spinners - New And Improved,good,New And Improved
23,Kool & The Gang,"{'artist': ['Kenneth Banks', 'Khalis Bayyan', 'Robert ""Kool"" Bell', 'George ""Funky"" Brown', 'Cleveland ""Clevie"" Browne', 'Bob Clearmountain', 'Godfrey Diamond', 'Harvey Goldberg', 'Alec Head', 'K & G Productions, Inc.', 'Mitchell Kanner', 'Kool & the Gang', 'Herb Lane', 'David Lartaud', 'Gary N. Mayo', 'Robert ""Spike"" Mickens', 'Al Pazant', 'Ed Pazant', 'Penni Phynjuar Saunders', 'Richard Shade', 'Claydes Smith', 'Alton Taylor', 'Dennis ""D.T."" Thomas', 'Ricky West', 'Richard Westfield'], 'credit': ['\n                            Vocals (Background)                        ', '\n                            Arranger,  Bass,  Clavinet,  Composer,  Kalimba,  Mellotron,  Percussion,  Piano,  Piano (Electric),  Sax (Tenor),  Synthesizer,  Vocals                        ', '\n                            Bass,  Composer,  Vocals                        ', '\n                            Composer,  Drums,  Gong,  Percussion                        ', '\n                            Liner Notes                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Producer                        ', '\n                            Design                        ', '\n                            Composer,  Primary Artist                        ', '\n                            Vocals                        ', '\n                            Photography                        ', '\n                            Digital Remastering                        ', '\n                            Arranger,  Composer,  Flugelhorn,  Trumpet                        ', '\n                            Trumpet                        ', '\n                            Oboe,  Sax (Alto)                        ', '\n                            Composer,  Vocals                        ', '\n                            Vocals (Background)                        ', '\n                            Arranger,  Composer,  Conductor,  Guitar,  Percussion,  Vibraphone                        ', '\n                            Composer,  Vocals                        ', '\n                            Arranger,  Composer,  Sax (Alto)                        ', '\n                            Arranger,  Composer,  Piano                        ', '\n                            Composer                        ']}",Kool & The Gang - Light Of Worlds,good,Light Of Worlds
24,The Miracles,"{'artist': ['Clifton Davis', 'John Kenneth Goodison', 'Jim Grady', 'Billy Griffin', 'Tony Hiller', 'Richard Hutch', 'Willie Hutch', 'Mike Leslie', 'The Miracles', 'Christine Yarian Perren', 'Freddie Perren', 'Arthur Ross', 'Leon Ware', 'Christine Yarian'], 'credit': ['\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Primary Artist                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Primary Artist                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ']}",The Miracles - Do It Baby,good,Do It Baby
25,Love Unlimited,"{'artist': ['Paul Elmore', 'Frank Kejmar', 'Love Unlimited', 'Love Unlimited Orchestra', 'Gene Page', 'Michael Paladin', 'Jerry Ragovoy', 'Aaron Schroeder', 'Aaron H. Schroeder', 'Abbey Schroeder', 'Barry White'], 'credit': ['\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Primary Artist                        ', '\n                            Performer,  Primary Artist                        ', '\n                            Arranger                        ', '\n                            Photography                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Arranger,  Composer,  Producer                        ']}",Love Unlimited - In Heat,good,In Heat
26,Curtis Mayfield,"{'artist': ['Curtis Mayfield'], 'credit': ['\n                            Primary Artist                        ']}",Curtis Mayfield - Got To Find A Way,good,Got To Find A Way
27,Santana,"{'artist': ['José Chepitó Areas', 'Jules Broussard', 'David Brown', 'Michael Carpenter', 'Dorival Caymmi', 'Leon ""Ndugu"" Chancler', 'Stanley Clarke', 'Tom Coster', 'Glen Kolotkin', 'Julio Martini & His Orchestra', 'Airto Moreira', 'Leon Patillo', 'Armando Peraza', 'Flora Purim', 'Doug Rauch', 'Santana', 'Carlos Santana', 'Michael Shrieve', 'Greg Walker'], 'credit': ['\n                            Congas,  Percussion,  Timbales                        ', '\n                            Sax (Soprano),  Sax (Tenor),  Saxophone                        ', '\n                            Bass                        ', '\n                            Arp Echoplex,  Guitar                        ', '\n                            Composer                        ', '\n                            Drums,  Percussion,  Vocals                        ', '\n                            Bass                        ', '\n                            Composer,  Keyboards,  Moog Synthesizer,  Organ,  Organ (Hammond),  Piano,  Piano (Electric),  Producer,  Vocals                        ', '\n                            Engineer                        ', '\n                            Composer                        ', '\n                            Composer,  Drums,  Percussion,  Sound Effects,  Triangle,  Vocals                        ', '\n                            Composer,  Keyboards,  Organ,  Percussion,  Piano (Electric),  Vocals                        ', '\n                            Bongos,  Composer,  Congas,  Percussion,  Sax (Soprano),  Vocals                        ', '\n                            Composer,  Percussion,  Sound Effects,  Vocals                        ', '\n                            Bass,  Composer,  Guitar                        ', '\n                            Composer,  Primary Artist                        ', '\n                            Composer,  Congas,  Gong,  Guitar,  Percussion,  Producer,  Vocals                        ', '\n                            Composer,  Drums,  Producer                        ', '\n                            Vocals                        ']}",Santana - Borboletta,good,Borboletta
28,Stanley Turrentine,"{'artist': ['Stanley Turrentine'], 'credit': ['\n                            Primary Artist,  Sax (Tenor)                        ']}",Stanley Turrentine - The Baddest Turrentine,good,The Baddest Turrentine
29,Bobby Womack,error,Bobby Womack - Bobby Womack's Greatest Hits,error,Bobby Womack's Greatest Hits
30,Aretha Franklin,error,Aretha Franklin - With Everything I Feel In Me,error,With Everything I Feel In Me
